2026-09-25 18:46:15 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Log imported***
2026-09-25 18:46:15 | INFO | developement_utilities.log_creation.create_event_log_from_xes | BPI_Challenge_2012
2026-09-25 18:46:23 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Variants created***
2026-09-25 18:46:27 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Traces Created from Variants***
2026-09-25 18:46:34 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 18:46:38 | INFO | src.concurrency_miner | ----activities in the log: {'A_PARTLYSUBMITTED', 'W_Valideren aanvraag', 'A_PREACCEPTED', 'O_DECLINED', 'O_SENT', 'A_ACTIVATED', 'W_Beoordelen fraude', 'A_REGISTERED', 'O_SELECTED', 'A_ACCEPTED', 'A_APPROVED', 'O_SENT_BACK', 'A_SUBMITTED', 'A_CANCELLED', 'O_CREATED', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'O_CANCELLED', 'W_Afhandelen leads', 'A_DECLINED', 'A_FINALIZED', 'W_Nabellen offertes', 'O_ACCEPTED'}
2026-09-25 18:46:38 | INFO | src.concurrency_miner | Found Sequence split, Partitions: [{'A_SUBMITTED'}, {'A_PARTLYSUBMITTED'}, {'W_Nabellen incomplete dossiers', 'O_CANCELLED', 'W_Valideren aanvraag', 'A_PREACCEPTED', 'O_DECLINED', 'O_SENT', 'W_Beoordelen fraude', 'A_ACTIVATED', 'W_Afhandelen leads', 'O_ACCEPTED', 'A_DECLINED', 'A_FINALIZED', 'A_REGISTERED', 'O_SELECTED', 'A_ACCEPTED', 'A_APPROVED', 'O_SENT_BACK', 'W_Nabellen offertes', 'A_CANCELLED', 'O_CREATED', 'W_Completeren aanvraag'}]
2026-09-25 18:46:43 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 18:46:43 | INFO | src.concurrency_miner | ----activities in the log: {'A_SUBMITTED'}
2026-09-25 18:46:43 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 18:46:44 | INFO | src.concurrency_miner | ----activities in the log: {'A_PARTLYSUBMITTED'}
2026-09-25 18:46:44 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 18:46:47 | INFO | src.concurrency_miner | ----activities in the log: {'W_Valideren aanvraag', 'A_PREACCEPTED', 'O_DECLINED', 'O_SENT', 'A_ACTIVATED', 'W_Beoordelen fraude', 'A_REGISTERED', 'O_SELECTED', 'A_ACCEPTED', 'A_APPROVED', 'O_SENT_BACK', 'A_CANCELLED', 'O_CREATED', 'W_Completeren aanvraag', 'W_Nabellen incomplete dossiers', 'O_CANCELLED', 'W_Afhandelen leads', 'A_DECLINED', 'A_FINALIZED', 'W_Nabellen offertes', 'O_ACCEPTED'}
2026-09-25 18:46:49 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 18:46:54 | INFO | src.concurrency_miner | ***Starting Fall Through***
